product_id,product_name,brand,category,price,currency,stock_quantity,rating,sku,description
EL-1015,Lenovo IdeaPad Slim 3 Laptop,Lenovo,Electronics,48990,INR,100,3.6,SKU-EL-1015,14 inch laptop with Intel i5 and 8GB RAM
SF-4003,Yoga Mat Anti-Skid 6mm,HRX,Sports & Fitness,1299,INR,120,4.7,SKU-SF-4003,Extra thick non-slip yoga mat for workouts
SF-4011,Running Shoes Lightweight Mesh,Nike,Sports & Fitness,5995,INR,412,4.7,SKU-SF-4011,Breathable mesh running shoes with cushioning support
HK-3025,Air Purifier with HEPA Filter,Philips,Home & Kitchen,9990,INR,132,4.9,SKU-HK-3025,HEPA filter air purifier for clean air
FA-2023,Women's Sneakers,Adidas,Fashion,4599,INR,282,3.9,SKU-FA-2023,Lightweight sneakers with breathable mesh upper
SF-4007,Badminton Racket Pair Graphite,Yonex,Sports & Fitness,2999,INR,215,4.4,SKU-SF-4007,Lightweight graphite rackets for professional play
HK-3014,King Size Cotton Bedsheet,Bombay Dyeing,Home & Kitchen,1999,INR,64,4.8,SKU-HK-3014,Soft breathable cotton bedsheet with pillow covers
EL-1021,Bajaj Majesty Steam Iron,Bajaj,Electronics,1299,INR,230,4.0,SKU-EL-1021,Quick heating steam iron with non-stick soleplate
EL-1010,OnePlus Nord Buds 2,OnePlus,Electronics,2999,INR,198,4.8,SKU-EL-1010,True wireless earbuds with fast charging
EL-1004,Apple AirPods Pro 2nd Gen,Apple,Electronics,26900,INR,451,4.6,SKU-EL-1004,Active noise cancellation true wireless earbuds
BE-5008,Sunscreen SPF 50 Gel 50g,Biotique,Beauty & Personal Care,499,INR,440,4.9,SKU-BE-5008,Lightweight sunscreen protection against UV rays
